URL,headline,author,date
Google Flights’ price guarantee could pay you back if your tickets get cheaper,Mitchell Clark,https://www.theverge.com/2023/4/3/23668308/google-flights-price-guarantee-ticket-price-change,"Monday, 03 April 2023 at 08:40 PM"
Data’s Twitter account got hacked.,Alex Cranz,https://www.theverge.com/2023/4/3/23668725/datas-twitter-account-got-hacked,"Monday, 03 April 2023 at 08:32 PM"
Activision settles with Justice Department for limiting esports players’ salaries,Ash Parrish,https://www.theverge.com/2023/4/3/23668568/activision-blizzard-doj-antitrust-suit-overwatch-league,"Monday, 03 April 2023 at 08:24 PM"
Spotify shuts down its Clubhouse competitor,Emma Roth,https://www.theverge.com/2023/4/3/23668533/spotify-live-clubhouse-competitor-shutdown,"Monday, 03 April 2023 at 08:19 PM"
Google employees may now be forced to use Google products.,Monica Chin,https://www.theverge.com/2023/4/3/23668667/google-employees-will-now-be-forced-to-use-their-own-products,"Monday, 03 April 2023 at 08:01 PM"
Please help these poor AIs rate their ASCII art.,Adi Robertson,https://www.theverge.com/2023/4/3/23668655/please-help-these-poor-ais-rate-their-ascii-art,"Monday, 03 April 2023 at 07:49 PM"
Sony is adding more accessibility information to games on the PlayStation Store,Jay Peters,https://www.theverge.com/2023/4/3/23668538/sony-playstation-store-accessibility-tags-ps5,"Monday, 03 April 2023 at 07:19 PM"
Did you run this by a lawyer?,Mitchell Clark,https://www.theverge.com/2023/4/3/23668547/did-you-run-this-by-a-lawyer,"Monday, 03 April 2023 at 06:56 PM"
The Home Assistant SkyConnect is a great excuse to demolish your smart home and start from scratch,Chris Person,https://www.theverge.com/23641940/home-assistant-skyconnect-thread-matter-zigbee-smart-home,"Sunday, 02 April 2023 at 02:00 PM"
New astronaut portrait just dropped.,T.C. Sottek,https://www.theverge.com/2023/4/3/23668528/new-astronaut-portrait-just-dropped,"Monday, 03 April 2023 at 06:40 PM"
Meet the AI that bets on how the ponies run.,Elizabeth Lopatto,https://www.theverge.com/2023/4/3/23668471/meet-the-ai-that-bets-on-how-the-ponies-run,"Monday, 03 April 2023 at 06:12 PM"
The Google Pixel 7 now supports “speaker separation” in Meet.,Emma Roth,https://www.theverge.com/2023/4/3/23668433/the-google-pixel-7-now-supports-speaker-separation-in-meet,"Monday, 03 April 2023 at 06:06 PM"
April Fools’ Day 2023: the best and cringiest pranks,Richard Lawler,https://www.theverge.com/2023/4/1/23665955/april-fools-day-2023-pranks-jokes-best-worst,"Monday, 03 April 2023 at 03:25 PM"
Disney is already remaking Moana as a live-action film,Jay Peters,https://www.theverge.com/2023/4/3/23668430/disney-moana-live-action-remake-dwayne-johnson,"Monday, 03 April 2023 at 05:54 PM"
Is Hong Kong the new crypto capital?,Elizabeth Lopatto,https://www.theverge.com/2023/4/3/23668448/is-hong-kong-the-new-crypto-capital,"Monday, 03 April 2023 at 05:39 PM"
YouTube will live stream six Coachella feeds at once this year,Jay Peters,https://www.theverge.com/2023/4/3/23668306/youtube-coachella-live-stream-six-feeds,"Monday, 03 April 2023 at 05:11 PM"
"Standard iPhones might get ProMotion, but not for awhile.",Jay Peters,https://www.theverge.com/2023/4/3/23668287/standard-iphones-might-get-promotion-but-not-for-awhile,"Monday, 03 April 2023 at 04:33 PM"
Netflix’s Kill Boksoon is a progressive but head-scratching thriller,Sara Merican,https://www.theverge.com/23668060/kill-boksoon-review-netflix,"Monday, 03 April 2023 at 04:30 PM"
The Steve Jobs Archive is releasing a free ebook,Jay Peters,https://www.theverge.com/2023/4/3/23668140/steve-jobs-archive-make-something-wonderful-ebook-digital-book,"Monday, 03 April 2023 at 04:25 PM"
Microsoft Teams now has a green screen feature to make virtual backgrounds better,Tom Warren,https://www.theverge.com/2023/4/3/23668236/microsoft-teams-green-screen-feature-virtual-backgrounds,"Monday, 03 April 2023 at 04:18 PM"
The new Xbox Home UI is getting a community section.,Tom Warren,https://www.theverge.com/2023/4/3/23668263/the-new-xbox-home-ui-is-getting-a-community-section,"Monday, 03 April 2023 at 04:16 PM"
FIFA’s post-EA future starts with this AI-powered mobile game,Andrew Webster,https://www.theverge.com/2023/4/3/23667887/fifa-ai-league-mobile-game,"Monday, 03 April 2023 at 04:00 PM"
The Blue Beetle busts out a Buster Sword in first trailer,Ash Parrish,https://www.theverge.com/23668090/blue-beetle-trailer-dc-first-look,"Monday, 03 April 2023 at 03:59 PM"
The latest iPad Air is once again $100 off — the best value among all iPads,Antonio G. Di Benedetto,https://www.theverge.com/2023/4/3/23667819/ipad-air-amazon-fire-stick-echo-show-10-call-of-duty-deal-sale,"Monday, 03 April 2023 at 03:49 PM"
The best robot vacuum you can buy right now,Jennifer Pattison Tuohy,https://www.theverge.com/22997597/best-robot-vacuum-cleaner,"Monday, 03 April 2023 at 03:36 PM"
NASA’s first trip back to the Moon has a crew.,Alex Cranz,https://www.theverge.com/2023/4/3/23668166/nasas-first-trip-back-to-the-moon-has-a-crew,"Monday, 03 April 2023 at 03:36 PM"
AI is entering an era of corporate control,James Vincent,https://www.theverge.com/23667752/ai-progress-2023-report-stanford-corporate-control,"Monday, 03 April 2023 at 03:00 PM"
The Asus ROG Ally handheld is real and aimed directly at the Steam Deck.,Richard Lawler,https://www.theverge.com/2023/4/3/23667925/the-asus-rog-ally-handheld-is-real-and-aimed-directly-at-the-steam-deck,"Monday, 03 April 2023 at 02:48 PM"
Mario’s limited edition hot sauce probably won’t give you fire powers.,Charles Pulliam-Moore,https://www.theverge.com/2023/4/3/23668018/marios-limited-edition-hot-sauce-probably-wont-give-you-fire-powers,"Monday, 03 April 2023 at 02:37 PM"
Apple’s Tim Cook says AR and VR are for ‘connection’ and ‘communication’,David Pierce,https://www.theverge.com/23667912/tim-cook-apple-ar-vr-interview-gq,"Monday, 03 April 2023 at 01:59 PM"
